,Timestamp,Rurality,S1 Score,S2 Score,S3 Score,UW GAMSAT,W GAMSAT,UQ MP/RMP Tier,CASPer Quartile,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Outlier,Interview?,Interviewing Uni,GPA,GAMSAT,1st Pref Uni,GPA,GAMSAT,2nd Pref Uni,GPA,GAMSAT,3rd Pref Uni,GPA,GAMSAT,4th Pref Uni,GPA,GAMSAT,5th Pref Uni,GPA,GAMSAT,6th Pref Uni,GPA,"GAMSAT
"
0,30/08/2023 11:12:26,Non-Rural,77,70,77,74.67,75.25,N/A,N/A,0,0,0,,,Yes,The University of Melbourne,6.76,74.67,,,,,,,,,,,,,,,,,,"
"
1,30/08/2023 11:12:30,Non-Rural,63,72,69,68,68.25,N/A,4th,0,2,0,,,Yes,Australian National University,6.792,68.25,Deakin University,6.792,68.25,The University of Melbourne,6.75,68,,,,,,,,,,,,"
"
2,30/08/2023 11:12:50,Non-Rural,75,75,77,75.67,76,N/A,4th,0,0,0,,,Yes,Griffith University,6.844,76,,,,,,,,,,,,,,,,,,"
"
3,30/08/2023 11:13:03,Non-Rural,64,71,82,72.33,74.75,N/A,4th,2,0,0,,,Yes,Australian National University,6.609,74.75,,,,,,,,,,,,,,,,,,"
"
4,30/08/2023 11:14:39,Non-Rural,71,68,77,72,73.25,N/A,3rd,0,0,0,,,Yes,The University of Melbourne,6.925,72,,,,,,,,,,,,,,,,,,"
"
5,30/08/2023 11:16:26,Non-Rural,67,71,83,73.67,76,N/A,3rd,0,2,0,"GAM, above average port",,Yes,The University of Melbourne,6.736,73.67,,,,,,,,,,,,,,,,,,"
"
6,30/08/2023 11:16:28,Non-Rural,70,81,79,76.67,77.25,N/A,N/A,0,0,0,,,Yes,Deakin University,6.722,77.25,The University of Melbourne,6.225,76.67,,,,,,,,,,,,,,,"
"
7,30/08/2023 11:18:00,Non-Rural,56,77,56,63,61.25,N/A,4th,12,4,0,No,,Yes,Deakin University,6.552,61.25,,,,,,,,,,,,,,,,,,"
"
8,30/08/2023 11:18:45,Non-Rural,76,74,69,73,72,N/A,N/A,0,0,0,GPA confirmed with gemsas via email for unimelb. I think it was 6.98 for anu.,,Yes,The University of Melbourne,7,73,,,,,,,,,,,,,,,,,,"
"
9,30/08/2023 11:18:58,Non-Rural,70,78,84,77.33,79,N/A,N/A,0,0,0,,,Yes,The University of Melbourne,7,77.33,,,,,,,,,,,,,,,,,,"
"
10,30/08/2023 11:19:22,Rural,57,63,83,67.67,71.5,N/A,N/A,10,0,0,,,Yes,Griffith University,6.643,71.5,,,,,,,,,,,,,,,,,,"
"
11,30/08/2023 11:19:36,Non-Rural,65,78,78,73.67,74.75,N/A,4th,0,2,0,,,Yes,Australian National University,6.896,74.75,,,,,,,,,,,,,,,,,,"
"
12,30/08/2023 11:20:30,Non-Rural,65,83,65,71,69.5,N/A,N/A,0,0,0,,,Yes,Griffith University,6.844,69.5,,,,,,,,,,,,,,,,,,"
"
13,30/08/2023 11:21:15,Non-Rural,65,64,85,71.33,74.75,N/A,N/A,0,0,0,,,Yes,The University of Melbourne,6.934,71.33,,,,,,,,,,,,,,,,,,"
"
14,30/08/2023 11:21:16,Non-Rural,66,66,81,71,73.5,N/A,3rd,4,2,0,"GAM application, above average portfolio for UoW, 4% Deakin bonus for financial disadvantage and work experience, Honours bonus @ ANU
",Yes- I,Yes,Deakin University,6.729,73.5,The University of Melbourne,6.688,71,,,,,,,,,,,,,,,"
"
